,mae_name,C,gamma,tol,eps,mae
565,SVR_50.0_1e-05_1e-06_0.0001,50,0.00001,0.00000,0.00010,0.0002040377724874970
561,SVR_50.0_1e-05_1e-07_0.0001,50,0.00001,0.00000,0.00010,0.0002044477580415370
605,SVR_50.0_0.0001_0.001_0.0001,50,0.00001,0.00100,0.00010,0.0002048016357593770
185,SVR_0.05_0.0001_0.001_0.0001,0.05,0.00001,0.00100,0.00010,0.0002048016357964580
325,SVR_0.5_0.0001_0.001_0.0001,0.5,0.00001,0.00100,0.00010,0.0002048016357965920
465,SVR_5.0_0.0001_0.001_0.0001,5,0.00001,0.00100,0.00010,0.0002048016357968140
745,SVR_500.0_0.0001_0.001_0.0001,500,0.00001,0.00100,0.00010,0.0002048016359672110
601,SVR_50.0_0.0001_9.999999999999999e-05_0.0001,50,0.00001,0.00010,0.00010,0.0002054779793809740
461,SVR_5.0_0.0001_9.999999999999999e-05_0.0001,5,0.00001,0.00010,0.00010,0.0002054779795022550
321,SVR_0.5_0.0001_9.999999999999999e-05_0.0001,0.5,0.00001,0.00010,0.00010,0.0002054779795023880
741,SVR_500.0_0.0001_9.999999999999999e-05_0.0001,500,0.00001,0.00010,0.00010,0.0002054779796285980
744,SVR_500.0_0.0001_0.001_1e-05,500,0.00001,0.00100,0.00001,0.0002097879394939550
604,SVR_50.0_0.0001_0.001_1e-05,50,0.00001,0.00100,0.00001,0.0002097879396953930
184,SVR_0.05_0.0001_0.001_1e-05,0.05,0.00001,0.00100,0.00001,0.0002097879397469970
324,SVR_0.5_0.0001_0.001_1e-05,0.5,0.00001,0.00100,0.00001,0.0002097879397474410
464,SVR_5.0_0.0001_0.001_1e-05,5,0.00001,0.00100,0.00001,0.0002097879397527250
769,SVR_500.0_0.001_9.999999999999999e-05_0.0001,500,0.00001,0.00010,0.00010,0.0002304760421165670
349,SVR_0.5_0.001_9.999999999999999e-05_0.0001,0.5,0.00001,0.00010,0.00010,0.0002304760421274470
209,SVR_0.05_0.001_9.999999999999999e-05_0.0001,0.05,0.00001,0.00010,0.00010,0.0002304760421275360
