,mae_name,C,gamma,tol,eps,mae
100,SVR_0.0005_0.0001_9.999999999999999e-06_0.1,0.0005,0.0001,9.999999999999999e-06,0.1,9544311.61273337
101,SVR_0.0005_0.0001_9.999999999999999e-06_1.0,0.0005,0.0001,9.999999999999999e-06,1.0,9544311.61273337
102,SVR_0.0005_0.0001_9.999999999999999e-06_10.0,0.0005,0.0001,9.999999999999999e-06,10.0,9544311.61273337
103,SVR_0.0005_0.0001_9.999999999999999e-06_100.0,0.0005,0.0001,9.999999999999999e-06,100.0,9544311.612733379
104,SVR_0.0005_0.0001_9.999999999999999e-05_1e-05,0.0005,0.0001,9.999999999999999e-05,1e-05,9544311.61273337
105,SVR_0.0005_0.0001_9.999999999999999e-05_0.0001,0.0005,0.0001,9.999999999999999e-05,0.0001,9544311.61273337
106,SVR_0.0005_0.0001_9.999999999999999e-05_0.001,0.0005,0.0001,9.999999999999999e-05,0.001,9544311.61273337
107,SVR_0.0005_0.0001_9.999999999999999e-05_0.01,0.0005,0.0001,9.999999999999999e-05,0.01,9544311.61273337
108,SVR_0.0005_0.0001_9.999999999999999e-05_0.1,0.0005,0.0001,9.999999999999999e-05,0.1,9544311.61273337
109,SVR_0.0005_0.0001_9.999999999999999e-05_1.0,0.0005,0.0001,9.999999999999999e-05,1.0,9544311.61273337
110,SVR_0.0005_0.0001_9.999999999999999e-05_10.0,0.0005,0.0001,9.999999999999999e-05,10.0,9544311.61273337
111,SVR_0.0005_0.0001_9.999999999999999e-05_100.0,0.0005,0.0001,9.999999999999999e-05,100.0,9544311.612733379
112,SVR_0.0005_0.0001_0.001_1e-05,0.0005,0.0001,0.001,1e-05,9544311.61273337
113,SVR_0.0005_0.0001_0.001_0.0001,0.0005,0.0001,0.001,0.0001,9544311.61273337
114,SVR_0.0005_0.0001_0.001_0.001,0.0005,0.0001,0.001,0.001,9544311.61273337
115,SVR_0.0005_0.0001_0.001_0.01,0.0005,0.0001,0.001,0.01,9544311.61273337
116,SVR_0.0005_0.0001_0.001_0.1,0.0005,0.0001,0.001,0.1,9544311.61273337
117,SVR_0.0005_0.0001_0.001_1.0,0.0005,0.0001,0.001,1.0,9544311.61273337
118,SVR_0.0005_0.0001_0.001_10.0,0.0005,0.0001,0.001,10.0,9544311.61273337
119,SVR_0.0005_0.0001_0.001_100.0,0.0005,0.0001,0.001,100.0,9544311.612733379
120,SVR_0.0005_0.0001_0.01_1e-05,0.0005,0.0001,0.01,1e-05,9544311.61273337
121,SVR_0.0005_0.0001_0.01_0.0001,0.0005,0.0001,0.01,0.0001,9544311.61273337
122,SVR_0.0005_0.0001_0.01_0.001,0.0005,0.0001,0.01,0.001,9544311.61273337
123,SVR_0.0005_0.0001_0.01_0.01,0.0005,0.0001,0.01,0.01,9544311.61273337
124,SVR_0.0005_0.0001_0.01_0.1,0.0005,0.0001,0.01,0.1,9544311.61273337
125,SVR_0.0005_0.0001_0.01_1.0,0.0005,0.0001,0.01,1.0,9544311.61273337
126,SVR_0.0005_0.0001_0.01_10.0,0.0005,0.0001,0.01,10.0,9544311.61273337
127,SVR_0.0005_0.0001_0.01_100.0,0.0005,0.0001,0.01,100.0,9544311.612733379
128,SVR_0.0005_0.0001_0.1_1e-05,0.0005,0.0001,0.1,1e-05,9544311.61273337
129,SVR_0.0005_0.0001_0.1_0.0001,0.0005,0.0001,0.1,0.0001,9544311.61273337
130,SVR_0.0005_0.0001_0.1_0.001,0.0005,0.0001,0.1,0.001,9544311.61273337
131,SVR_0.0005_0.0001_0.1_0.01,0.0005,0.0001,0.1,0.01,9544311.61273337
132,SVR_0.0005_0.0001_0.1_0.1,0.0005,0.0001,0.1,0.1,9544311.61273337
133,SVR_0.0005_0.0001_0.1_1.0,0.0005,0.0001,0.1,1.0,9544311.61273337
134,SVR_0.0005_0.0001_0.1_10.0,0.0005,0.0001,0.1,10.0,9544311.61273337
135,SVR_0.0005_0.0001_0.1_100.0,0.0005,0.0001,0.1,100.0,9544311.612733379
136,SVR_0.0005_0.0001_1.0_1e-05,0.0005,0.0001,1.0,1e-05,9544311.61273337
137,SVR_0.0005_0.0001_1.0_0.0001,0.0005,0.0001,1.0,0.0001,9544311.61273337
138,SVR_0.0005_0.0001_1.0_0.001,0.0005,0.0001,1.0,0.001,9544311.61273337
139,SVR_0.0005_0.0001_1.0_0.01,0.0005,0.0001,1.0,0.01,9544311.61273337
140,SVR_0.0005_0.0001_1.0_0.1,0.0005,0.0001,1.0,0.1,9544311.61273337
141,SVR_0.0005_0.0001_1.0_1.0,0.0005,0.0001,1.0,1.0,9544311.61273337
142,SVR_0.0005_0.0001_1.0_10.0,0.0005,0.0001,1.0,10.0,9544311.61273337
143,SVR_0.0005_0.0001_1.0_100.0,0.0005,0.0001,1.0,100.0,9544311.612733379
