mae_name,C,gamma,eps,tol,mae
SVR_0.017341529915832612_3.960212804236609e-05_0.05852766346593506_4.019454526140724e-08,0.017341529915832612,3.960212804236609e-05,0.05852766346593506,4.019454526140724e-08,23.174556880680754
SVR_0.017341529915832612_3.960212804236609e-05_0.08779149519890259_4.019454526140724e-08,0.017341529915832612,3.960212804236609e-05,0.08779149519890259,4.019454526140724e-08,23.173039325353702
SVR_0.017341529915832612_5.9403192063549134e-05_0.0010149592268982965_4.019454526140724e-08,0.017341529915832612,5.9403192063549134e-05,0.0010149592268982965,4.019454526140724e-08,23.151117275947183
SVR_0.017341529915832612_5.9403192063549134e-05_0.017341529915832612_4.019454526140724e-08,0.017341529915832612,5.9403192063549134e-05,0.017341529915832612,4.019454526140724e-08,23.15099774982959
SVR_0.017341529915832612_5.9403192063549134e-05_0.039018442310623375_4.019454526140724e-08,0.017341529915832612,5.9403192063549134e-05,0.039018442310623375,4.019454526140724e-08,23.150491641380764
SVR_0.017341529915832612_5.9403192063549134e-05_0.05852766346593506_4.019454526140724e-08,0.017341529915832612,5.9403192063549134e-05,0.05852766346593506,4.019454526140724e-08,23.149461631198154
SVR_0.017341529915832612_5.9403192063549134e-05_0.08779149519890259_4.019454526140724e-08,0.017341529915832612,5.9403192063549134e-05,0.08779149519890259,4.019454526140724e-08,23.147971735194712
SVR_0.017341529915832612_5.9403192063549134e-05_0.13168724279835387_4.019454526140724e-08,0.017341529915832612,5.9403192063549134e-05,0.13168724279835387,4.019454526140724e-08,23.14583201547768
SVR_0.017341529915832612_8.910478809532371e-05_0.0010149592268982965_4.019454526140724e-08,0.017341529915832612,8.910478809532371e-05,0.0010149592268982965,4.019454526140724e-08,23.119361004081323
SVR_0.017341529915832612_8.910478809532371e-05_0.017341529915832612_4.019454526140724e-08,0.017341529915832612,8.910478809532371e-05,0.017341529915832612,4.019454526140724e-08,23.119184816644566
SVR_0.017341529915832612_8.910478809532371e-05_0.05852766346593506_4.019454526140724e-08,0.017341529915832612,8.910478809532371e-05,0.05852766346593506,4.019454526140724e-08,23.1184776259548
SVR_0.017341529915832612_8.910478809532371e-05_0.08779149519890259_4.019454526140724e-08,0.017341529915832612,8.910478809532371e-05,0.08779149519890259,4.019454526140724e-08,23.117016539072395
SVR_0.017341529915832612_8.910478809532371e-05_0.13168724279835387_4.019454526140724e-08,0.017341529915832612,8.910478809532371e-05,0.13168724279835387,4.019454526140724e-08,23.11484778031342
SVR_0.017341529915832612_8.910478809532371e-05_0.1975308641975308_4.019454526140724e-08,0.017341529915832612,8.910478809532371e-05,0.1975308641975308,4.019454526140724e-08,23.111952575280927
SVR_0.017341529915832612_0.00013365718214298556_0.0010149592268982965_4.019454526140724e-08,0.017341529915832612,0.00013365718214298556,0.0010149592268982965,4.019454526140724e-08,23.083251032127812
SVR_0.017341529915832612_0.00013365718214298556_0.02601229487374892_4.019454526140724e-08,0.017341529915832612,0.00013365718214298556,0.02601229487374892,4.019454526140724e-08,23.083012157797977
SVR_0.017341529915832612_0.00013365718214298556_0.05852766346593506_4.019454526140724e-08,0.017341529915832612,0.00013365718214298556,0.05852766346593506,4.019454526140724e-08,23.082042844988226
SVR_0.017341529915832612_0.00013365718214298556_0.08779149519890259_4.019454526140724e-08,0.017341529915832612,0.00013365718214298556,0.08779149519890259,4.019454526140724e-08,23.082037503746065
SVR_0.017341529915832612_0.00013365718214298556_0.13168724279835387_4.019454526140724e-08,0.017341529915832612,0.00013365718214298556,0.13168724279835387,4.019454526140724e-08,23.080006766219935
SVR_0.017341529915832612_0.00013365718214298556_0.1975308641975308_4.019454526140724e-08,0.017341529915832612,0.00013365718214298556,0.1975308641975308,4.019454526140724e-08,23.077061348249288
SVR_0.017341529915832612_0.00013365718214298556_0.29629629629629617_4.019454526140724e-08,0.017341529915832612,0.00013365718214298556,0.29629629629629617,4.019454526140724e-08,23.07316666394228
SVR_0.017341529915832612_0.00020048577321447834_0.0010149592268982965_4.019454526140724e-08,0.017341529915832612,0.00020048577321447834,0.0010149592268982965,4.019454526140724e-08,23.04693958501006
SVR_0.017341529915832612_0.00020048577321447834_0.039018442310623375_4.019454526140724e-08,0.017341529915832612,0.00020048577321447834,0.039018442310623375,4.019454526140724e-08,23.04662574697455
