,mae_name,C,gamma,tol,eps,mae
123,SVR_0.005_0.1_9.999999999999999e-06_0.01,0.005,0.1,9.999999999999999e-06,0.01,0.0029924869646532405
124,SVR_0.005_0.1_9.999999999999999e-05_1e-05,0.005,0.1,9.999999999999999e-05,1e-05,0.0028170873893675007
125,SVR_0.005_0.1_9.999999999999999e-05_0.0001,0.005,0.1,9.999999999999999e-05,0.0001,0.0028568444184287945
126,SVR_0.005_0.1_9.999999999999999e-05_0.001,0.005,0.1,9.999999999999999e-05,0.001,0.0028990809269954453
127,SVR_0.005_0.1_9.999999999999999e-05_0.01,0.005,0.1,9.999999999999999e-05,0.01,0.0029924869646532405
128,SVR_0.005_0.1_0.001_1e-05,0.005,0.1,0.001,1e-05,0.0028623746935361625
129,SVR_0.005_0.1_0.001_0.0001,0.005,0.1,0.001,0.0001,0.0028704469745774565
130,SVR_0.005_0.1_0.001_0.001,0.005,0.1,0.001,0.001,0.0028738240368072266
131,SVR_0.005_0.1_0.001_0.01,0.005,0.1,0.001,0.01,0.0029924869646532405
132,SVR_0.005_0.1_0.01_1e-05,0.005,0.1,0.01,1e-05,0.003101078440246141
133,SVR_0.005_0.1_0.01_0.0001,0.005,0.1,0.01,0.0001,0.0032860784402461095
134,SVR_0.005_0.1_0.01_0.001,0.005,0.1,0.01,0.001,0.003111078440246118
135,SVR_0.005_0.1_0.01_0.01,0.005,0.1,0.01,0.01,0.0029924869646532405
136,SVR_0.005_0.1_0.1_1e-05,0.005,0.1,0.1,1e-05,0.0029924869646532405
137,SVR_0.005_0.1_0.1_0.0001,0.005,0.1,0.1,0.0001,0.0029924869646532405
138,SVR_0.005_0.1_0.1_0.001,0.005,0.1,0.1,0.001,0.0029924869646532405
139,SVR_0.005_0.1_0.1_0.01,0.005,0.1,0.1,0.01,0.0029924869646532405
140,SVR_0.05_1e-05_1e-07_1e-05,0.05,1e-05,1e-07,1e-05,0.00016804582217990748
141,SVR_0.05_1e-05_1e-07_0.0001,0.05,1e-05,1e-07,0.0001,0.0001576084756353513
142,SVR_0.05_1e-05_1e-07_0.001,0.05,1e-05,1e-07,0.001,0.0006518711882869344
143,SVR_0.05_1e-05_1e-07_0.01,0.05,1e-05,1e-07,0.01,0.0029924869646532405
144,SVR_0.05_1e-05_1e-06_1e-05,0.05,1e-05,1e-06,1e-05,0.00016865404905925808
145,SVR_0.05_1e-05_1e-06_0.0001,0.05,1e-05,1e-06,0.0001,0.00015841087048920066
146,SVR_0.05_1e-05_1e-06_0.001,0.05,1e-05,1e-06,0.001,0.0006518304976188994
147,SVR_0.05_1e-05_1e-06_0.01,0.05,1e-05,1e-06,0.01,0.0029924869646532405
148,SVR_0.05_1e-05_9.999999999999999e-06_1e-05,0.05,1e-05,9.999999999999999e-06,1e-05,0.00016643366211481768
149,SVR_0.05_1e-05_9.999999999999999e-06_0.0001,0.05,1e-05,9.999999999999999e-06,0.0001,0.000161610796269418
150,SVR_0.05_1e-05_9.999999999999999e-06_0.001,0.05,1e-05,9.999999999999999e-06,0.001,0.0006500029151782271
151,SVR_0.05_1e-05_9.999999999999999e-06_0.01,0.05,1e-05,9.999999999999999e-06,0.01,0.0029924869646532405
152,SVR_0.05_1e-05_9.999999999999999e-05_1e-05,0.05,1e-05,9.999999999999999e-05,1e-05,0.00014006333753009416
153,SVR_0.05_1e-05_9.999999999999999e-05_0.0001,0.05,1e-05,9.999999999999999e-05,0.0001,0.00017699223899998452
154,SVR_0.05_1e-05_9.999999999999999e-05_0.001,0.05,1e-05,9.999999999999999e-05,0.001,0.0006453105057627085
155,SVR_0.05_1e-05_9.999999999999999e-05_0.01,0.05,1e-05,9.999999999999999e-05,0.01,0.0029924869646532405
156,SVR_0.05_1e-05_0.001_1e-05,0.05,1e-05,0.001,1e-05,0.00018070425753773377
157,SVR_0.05_1e-05_0.001_0.0001,0.05,1e-05,0.001,0.0001,5.327523775164877e-05
158,SVR_0.05_1e-05_0.001_0.001,0.05,1e-05,0.001,0.001,0.0006512587519551527
159,SVR_0.05_1e-05_0.001_0.01,0.05,1e-05,0.001,0.01,0.0029924869646532405
